label,text,answer
HISTORY,"Thinking she's dressed as an Indian for a costume party on Dec. 16, 1773, Phoebe attends this Mass. event",Boston Tea Party
SCIENCE,Brighter in the night sky than any star is this planet that comes closest to the Earth,Venus
GEOGRAPHY,"Thunder Bay, a city in Ontario, is on Thunder Bay, an arm of this largest Great Lake",(Lake) Superior
MUSIC,There's trouble in River City when professor Harold Hill comes a-calling in this musical,The Music Man
LITERATURE,In 1630 John Milton wrote a sonnet honoring this other famous sonneteer,William Shakespeare
MUSIC,You have our word it's Broadway's longest-running nostalgic musical set in a high school,Grease
MUSIC,"""In 1994 Maureen McCormick, who played Marcia in """"The Brady Bunch"""", appeared as Rizzo in this Broadway musical""",Grease
SCIENCE,"This element, symbol Co, was once popular for making invisible ink",cobalt
SCIENCE,"""A hot biomedical topic is apoptosis, the programmed """"suicide"""" of these biological units""",cells
HISTORY,"""March 1942: He """"says 'I shall return'""""; April 1951: """"Harry Orders Big Mac To Go""""""",MacArthur
HISTORY,In 1951 viewers found this Tennessee senator's organized crime hearings quite arresting,Estes Kefauver
SCIENCE,This word can mean unable to produce offspring or free from living microorganisms,sterile (sterility accepted)
HISTORY,This dance was popular for decades in Brazil before achieving popularity in the U.S. around 1930,samba
SCIENCE,"The Portland type of this substance is limestone & shale heated until almost fused, then ground",cement
LITERATURE,"""Seldom does a first book contain so few unsuccessful things, said Amy Lowell of his """"Chicago Poems""""""",Sandburg
MUSIC,The Once and Future King,Camelot
SCIENCE,"Fm is the chemical symbol for this element, discovered in the 20th century",Fermium
HISTORY,"In 1898 Britain leased the New Territories from China, adding to the area of this dependency",Hong Kong
SCIENCE,"Along with pressure & elevation, breezes are mainly caused by differences in this between adjacent areas",temperature
SCIENCE,State of matter a substance is in after it's gone through evaporation,gaseous
LITERATURE,"""Peter Straub & this master of horror were good friends long before they collaborated on """"The Talisman""""""",Stephen King
LITERATURE,"""Published in 1931, """"Safe Conduct"""" is an autobiographical work by this """"Doctor Zhivago"""" author""",Boris Pasternak
MUSIC,"""1968 musical that featured """"45 Minutes From Broadway"""", """"Yankee Doodle Dandy"""" & """"Harrigan""""""",George M!
HISTORY,Old name for Russia & 14 other republics until 1991: The ____ Union,the Soviet Union
SCIENCE,"This attraction between atoms may be ionic, covalent or hydrogen",the bond
HISTORY,Barons & churchmen drew up this 1215 document to reduce the power of England's King John,The Magna Carta
MUSIC,"""Being a surfer helped this Hawaiian musician """"Sleep Through The Static""""""",Jack Johnson
HISTORY,"""Because the yoke originally was cut off, the name of this dress is Hawaiian for """"cut-off""""""",a mu'umu'u
MUSIC,"December 8, 1980 in New York City",John Lennon
LITERATURE,"""The Red Rover is a sea novel by this author of """"The Last of the Mohicans""""""",James Fenimore Cooper
MUSIC,"""This group had 26 No. 1 country hits in the '80s, including """"Feels So Right""""""",Alabama
MUSIC,"The instrument heard here, or what you might use to capture its sound",a recorder
HISTORY,"""He traveled the world & beyond with his novels """"Poland"""", """"Caribbean"""" & """"Space""""""",(James) Michener
MUSIC,"Joey Heatherton was 15 going on 16, not 16 going on 17, when she understudied the role of Liesl in this musical",The Sound of Music
HISTORY,The Rosebuds of this Northwest city were the first pro hockey team in the U.S.,Portland
HISTORY,In 1889 this island joined up with Tobago as a single colony,Trinidad
HISTORY,Indianapolis was laid out in a wheel pattern inspired by this other major city some 500 miles away,"Washington, D.C."
HISTORY,"For the Cherokees this infamous trail led to Fort Gibson, Oklahoma",the Trail of Tears
GEOGRAPHY,"Charlotte Amalie, the capital of the U.S. Virgin Islands, is located on this island",St. Thomas
GEOGRAPHY,"""This """"great"""" lake on the Arctic circle is the largest lake entirely within Canada""",Great Bear Lake
HISTORY,In 969 the Fatimids conquered Egypt & made this city a center of the Muslim world,Cairo
MUSIC,Vincent Price rap-narrates the now classic video to this Michael Jackson song,Thriller
HISTORY,"""In 1770 Capt. James Cook became the first European to sight Australia's fertile east coast, which he named """"New"""" this""",South Wales
GEOGRAPHY,About a third of this state lies north of the Arctic Circle,Alaska
LITERATURE,"""This author who set """"The Return of the Native"""" in Wessex had a terrier named Wessex""",(Thomas) Hardy
MUSIC,"""Hey, """"Don't Cry for Me""""!  I won't get the lead in this musical, but I'll be great as Juan Peron""",Evita
SCIENCE,"""Just using flour & water gives you unleavened bread; add this fungus to leaven it""",yeast
HISTORY,"English words drawn from the Algonquian language include moose, terrapin & this other word for groundhog",woodchuck
HISTORY,"This first U.S. first lady, a fine equestrienne, once rode a horse up the stairs of her uncle's house",Martha Washington
LITERATURE,"""Henry Miller's """"The Colossus of Maroussi"""" is an account of his travels in this country""",Greece
MUSIC,Devoted fans of the hit musical about this dual personality are known as Jeckies,Dr. Jekyll & Mr. Hyde
SCIENCE,The Big Dipper is part of this constellation,Ursa Major
LITERATURE,"""1995's """"Carrington"""" also portrays the life & loves of this Bloomsbury Group member who wrote """"Eminent Victorians""""""",Lytton Strachey
HISTORY,"This mystic ate his last meal at the home of Prince Feliks Yusupov, one of the men who killed him",Rasputin
LITERATURE,"""He published the first 4 of his fairy tales in an 1835 pamphlet; """"The Tinder Box"""" was among them""",Hans Christian Andersen
LITERATURE,"""In this novel, d'Artagnan, a native of Gascony, is described as """"Don Quixote at 18""""""",The Three Musketeers
HISTORY,"During the Wars of the Roses, the houses of Lancaster & this one both claimed the English throne",York
MUSIC,"Knowing Me, Knowing You by Sam Carmichael",Mamma Mia
MUSIC,"Liszt, Borodin & Rimsky-Korsakov all wrote variations of this simple waltz",Chopsticks
MUSIC,"A little larger than the violin, it's the alto or tenor of the family",Viola
HISTORY,The Treaty of Bretigny in 1360 brought a brief period of peace during this war,Hundred Years' War
HISTORY,These ancient people referred to themselves as Hellenes,Greeks
HISTORY,"England & France fought the Battle of the Herrings in 1429, as this long, long conflict lurching was to a close",The Hundred Years' War
HISTORY,Segregation was in effect long before this country formally introduced apartheid in 1948,South Africa
MUSIC,...& the Blackhearts,Joan Jett
MUSIC,"""Peter Allen's song """"Quiet Please, There's a Lady on Stage"""" was a tribute to this late star, once his mother-in-law""",Judy Garland
SCIENCE,"""In old science, it's a type of """"generation"""" of life from nonliving matter; it's also a type of """"combustion""""""",spontaneous
LITERATURE,"""Depending on the book, he could be a """"Jones"""", a """"Sawyer"""", or an """"Uncle""""""",Tom
SCIENCE,"In this process of cell division, unlike mitosis, a cell divides & halves the number of chromosomes",Meiosis
HISTORY,"Called by some the Father of Europe, he was crowned Emperor of the Romans December 25, 800",Charlemagne
MUSIC,"""In 2003 he & Art Garfunkel broke their """"Sounds of Silence"""", reuniting for the Grammys & a new tour""",Paul Simon
LITERATURE,"""It completes the Robert Browning line """"God's in His heaven...""""""",...all's right with the world
HISTORY,"As a result of the Congress of Vienna in 1835, Sweden received Norway from this country",Denmark
GEOGRAPHY,"""2 of the 4 countries bordering Afghanistan whose names also end in """"stan""""""","(2 of 4) Pakistan, Tajikistan, Turkmenistan & Uzbekistan"
MUSIC,"""He made his name in '50s gospel before """"twisting the night away"""" as a pop superstar""",Sam Cooke
MUSIC,This string instrument got its name from its old job of playing along with other instruments low notes,a double bass
LITERATURE,"As this 1931 novel begins, Wang Lung travels to the house of Hwang to fetch his bride",The Good Earth
SCIENCE,"His contribution to science was the celluloid strip used in film, not the sanitary strip used in hotels",John Wesley Hyatt
HISTORY,"Mercader is going after Trotsky on Aug. 20, 1940!  I need the site!  In Coyoacan, in this country?  I'll be there in 20!",Mexico
SCIENCE,This process of making rubber harder & more elastic by heating it with sulfur bears the name of a Roman god,vulcanization
LITERATURE,"""In """"Beowulf"""", this monster regularly devours Hrothgar's sleeping warriors""",Grendel
HISTORY,"""When this """"dark"""" knight sacked Limoges, France in 1370, he killed more than 3,000 citizens""",the Black Prince
MUSIC,"If your sheet music features no sharps or flats, just a treble clef, this is the key",C
SCIENCE,"""The petals of the English daisy do this at night; the flowers of the scarlet pimpernel, when bad weather approaches""",fold up (or close)
SCIENCE,He published his quantum theory in 1900 while a professor of physics in Berlin,(Max) Planck
SCIENCE,"About 1 hydrogen atom in 6,500 is this isotope",deuterium
HISTORY,In 1863 Prince William of Denmark ascended this country's throne as King George I,Greece
LITERATURE,"""This """"Lord of the Rings"""" author served as Merton professor of English at Oxford from 1945 to 1959""",J.R.R. Tolkien
HISTORY,"On Feb. 12, 1912, the last emperor of this dynasty abdicated, ending more than 3,000 years of Chinese monarchy",Manchu
HISTORY,"""Between 1951 & 1977 this """"automotive"""" foundation pumped about $290 million into public TV""",the Ford Foundation
HISTORY,"Sadiq Al-Mahdi, great-grandson of the Mahdi, led this largest African country from 1986-1989",The Sudan
HISTORY,Romania was one Warsaw Pact country that didn't participate in the 1968 invasion of this country,Czechoslovakia
MUSIC,"Reverend Moore,  Ariel,  Ren",Footloose
MUSIC,In 1893 Francisco Fanciulli succeeded this man as leader of the U.S. Marine Band,John Philip Sousa
MUSIC,"""In 1999 this group sang, """"Maria, you've gotta see her, go insane and out of your mind""""""",Blondie
HISTORY,"Of the 15 expulsions of senators in the Senate's 215-year history, 11 took place in this year",1861
HISTORY,"Prior to his election to the Tennessee legislature in 1821, this frontiersman was a Justice of the Peace",Davy Crockett
HISTORY,"In 1936 this 16-year-old succeeded his father, Fuad I, as king of Egypt",Farouk I
SCIENCE,"Of the 3 main classes of rock, this one is further divided into plutonic & volcanic types",igneous
SCIENCE,"Of the 3 main classes of rock, this one is further divided into plutonic & volcanic types",igneous
HISTORY,"Named for a monastery, this group led by Robespierre instigated France's reign of terror in 1793",the Jacobins
HISTORY,"""In 303 A.D. Diocletian forbade Christian worship; this man, his """"Great"""" successor, revoked the edict 10 years later""",Constantine
GEOGRAPHY,1 of Denmark's 2 overseas regions,Faroe Islands & Greenland
LITERATURE,"""In """"Alexander's Feast"""" John Dryden wrote, """"None but the brave deserves"""" them""",the fair
LITERATURE,"""From the early 1900s, his """"The First Men in the Moon"""" & """"The War in the Air"""" proved eerily prophetic""",H.G. Wells
SCIENCE,"""Intact DNA was recently extracted from one of these ancient """"royal relics""""""",mummy
MUSIC,"""The 1924 musical revue """"I'll Say She Is"""" made these goofy brothers legitimate Broadway stars""",the Marx Brothers
LITERATURE,"""In 1991 Robert Pirsig published """"Lila"""", a follow-up to his classic """"Zen and the Art of"""" this""",Motorcycle Maintenance
MUSIC,Timpani are multiple mounted ones of these instruments,drums
LITERATURE,"""At the time of her death in 1974, she was writing a sequel to """"Every Night, Josephine!""""""",Jacqueline Susann
HISTORY,"This Borgia, seen here, looks far more innocent than all those nasty rumors would imply",Lucrezia Borgia
MUSIC,"""His 1983 hit """"Beat It"""" featured Eddie Van Halen on gutiar""",Michael Jackson
LITERATURE,The Houyhnhnms in this 1726 satire have the forms of horses,Gulliver's Travels
MUSIC,"""In 1984 this comic parodied Michael Jackson's """"Beat It"""" with record & video versions of """"Eat It""""""",Weird Al Yankovic
HISTORY,HIstoric nickname for the curved region between the Mediterranean & Mesopotamia,the Fertile Crescent
HISTORY,"""A jacket named for this """"Spirit""""ed aviator became extremely popular in 1927""",Lindbergh
HISTORY,"In the 1960s, many Barbie doll fashions, & even Barbie's bouffant hairdo, were inspired by this First Lady",Jacqueline Kennedy (Onassis)
GEOGRAPHY,"Alexander the Great led his troops as far east as the Hyphasis, now the Beas, river in this country",India
SCIENCE,"Through his experiments with pea plants, he discovered the basic principles of heredity",Mendel
GEOGRAPHY,The Federal Islamic Republic of the Comoros lies in this ocean in the Mozambique Channel,Indian Ocean
LITERATURE,"The grandson of a humorist, the son of a children's author, his first novel in 1974 was huge bestseller",Peter Benchley
LITERATURE,"After she died in 1886, her sister Lavinia discovered hundreds of her poems in little handsewn booklets",Emily Dickinson
LITERATURE,His grandfather Thomas Gore was a senator from Oklahoma,Gore Vidal
HISTORY,"Known for his long wall, he also built Rome's magnificent Athenaeum",Hadrian
MUSIC,"""This group's Kerry Livgren wrote """"Dust in the Wind"""" after reading a book of Native American poetry""",Kansas
LITERATURE,"A religious kaside poem praised God, this man or his son-in-law, Ali Ibn Abi Talib, the fourth caliph",Muhammad
LITERATURE,Dorothy's felt-tipped pens,Parker's markers
MUSIC,"""Ernest Bloch's orchestral work """"Helvetia, The Land Of Mountains Amd Its People"""" honors this country, his birthplace""",Switzerland
GEOGRAPHY,This river is responsible for irrigating about 6 million acres of land in Egypt,Nile
LITERATURE,"""First published in 1835, """"Berence"""" has been called """"his most horrifying tale""""""",Edgar Allan Poe
HISTORY,"""This monk might have said, """"Give peas a chance""""; he used pea plants to discover the laws of heredity""",Gregor Mendel
LITERATURE,"""T.S. Eliot dedicated """"The Waste Land"""" to this poet & critic who helped revise it""",Ezra Pound
SCIENCE,It's the more common name for solid CO<sub>2</sub>,dry ice
SCIENCE,Graphite is a soft form of this element,carbon
LITERATURE,The knight is the first character to tell his story in this Chaucer classic,The Canterbury Tales
LITERATURE,"""Edwin Arlington Robinson character who """"one calm summer night, went home and put a bullet through his head""""""",Richard Cory
LITERATURE,"""1720's """"The Adventures of Captain Singleton"""" was his next novel after """"Robinson Crusoe""""""",Daniel Defoe
GEOGRAPHY,This river enters Egypt near Lake Nasser,the Nile
HISTORY,"""Famous 1863 speech by President Lincoln that began, """"Four score and seven years ago...""""""",the Gettysburg Address
MUSIC,"""He wrote the song that says, """"I get no kick from champagne""""""",Cole Porter
SCIENCE,"""Inside the heart there are 4 of these; 2 semilunar, a bicuspid & a tricuspid""",valves
LITERATURE,"One of the USA's greatest novelists, he lived most of his life, from 1876 to 1916, in England",Henry James
LITERATURE,"""In Robert Browning's """"Pippa Passes"""", """"God's in"""" this place -- """"all's right with the world""""""",His heaven
MUSIC,"""Her self-titled debut album, which included the hit """"Vision of Love"""", reached the top of the charts in 1990""",Mariah Carey
SCIENCE,It's elemental: Zn,zinc
LITERATURE,"""According to the title of an Allan Gurganus novel, Lucy Marsden, the """"Oldest Living"""" one of these, """"Tells All""""""",Confederate widow
SCIENCE,In palynology scientists study the past distribution of seed plants by looking at grains of this,pollen
GEOGRAPHY,This capital city lies on the broad & shallow plain formed by the Moskva River & tributaries,Moscow
SCIENCE,This type of headlight that uses a trace of bromine or iodine vapor is the standard in auto manufacture,halogen
GEOGRAPHY,"Denmark's highest point, Yding Skovhoj, rises only 568 feet on this peninsula",Jutland
LITERATURE,A series of dreams he had about lions helped inspire his Narnia books,C.S. Lewis
LITERATURE,"""Leo Tolstoy's story about Hadji Murat, """"who slew the Russian swine"""", opens in this present-day Russian republic""",Chechnya
GEOGRAPHY,"""Leo Tolstoy's story about Hadji Murat, """"who slew the Russian swine"""", opens in this present-day Russian republic""",Chechnya
MUSIC,"""This musical direction, Italian for """"lively"""", is also the title of a Rodgers & Hammerstein musical""",Allegro
GEOGRAPHY,"""Venice, Italy is the """"mistress of"""" this arm of the Mediterranean""",the Adriatic
SCIENCE,The X-Men know it's a change in a DNA molecule of a cell that's passed on to an offspring cell,mutation
MUSIC,Musical instruments such as marimbas & maracas are classified as this type,Percussion
LITERATURE,"""With """"Pandora"""", she recently began a new series of vampire tales""",Anne Rice
HISTORY,"Soon after Ataturk became Turkey's president in 1923, he banned the wearing of this traditional hat",fez
LITERATURE,"""19th c. feminist Catharine Beecher wrote """"The American Woman's Home"""" with this more famous sister""",Harriet Beecher Stowe
HISTORY,"""A political or social system; an """"ancien"""" one governed France until 1789""",a regime
SCIENCE,The flask that this British scientist invented in the 1890s was a predecessor of the Thermos,James Dewar
HISTORY,Beverage World reports that in 1996 the U.S. exceeded this country in number of breweries for the first time,Germany
SCIENCE,"In 1897 this son of slaves discovered 3 new species of fungi which are named for him, including taphrina carveri",George Washington Carver
HISTORY,"After losing his Senate seat to John F. Kennedy, he was made U.S. representative at the United Nations","Henry Cabot Lodge, Jr."
MUSIC,"""A 1993 film was actually """"Thirty Two Short Films About"""" this pianist known for interpreting Bach""",Glenn Gould
MUSIC,"No, it's true! A crwth is a Welsh version of this ancient stringed instrument",a lyre
GEOGRAPHY,"""This part of the United Kingdom is called """"Cymru"""" in its native language""",Wales
LITERATURE,"""He finished writing """"Evangeline"""" on his 40th birthday""",Longfellow
HISTORY,One reason this fascist Italian dictator adopted the Roman salute may have been a fear of shaking hands,Mussolini
HISTORY,Topps' 1952 series No. 311 was this player's first card & is a holy grail among collectors,Mickey Mantle
LITERATURE,"""In 1852 this """"Scarlet Letter"""" author wrote a campaign biography for his friend Franklin Pierce""",Nathaniel Hawthorne
HISTORY,"Under the 1815 Congress of Vienna, Sweden was given this neighbor that was taken from Denmark",Norway
LITERATURE,Cavatica is the last name of the title character of this 1952 E.B. White novel,Charlotte's Web
HISTORY,"As queen of the Netherlands during WWI, she helped maintain Dutch neutrality",Wilhelmina
GEOGRAPHY,"""8th most populous country in the world, this """"Bengal Nation"""" was once East Pakistan""",Bangladesh
MUSIC,Scene by the brook is the title of one movement of this Beethoven symphony in F major,the 6th symphony
MUSIC,In 1989 she released “Express Yourself” & got divorced from Sean Penn,Madonna
SCIENCE,In the 1780s William Herschel determined its axial inclination & found it had ice caps,Mars
SCIENCE,What makes Rigel the brightest star in this constellation is that it's really 3 stars (& they're not in the belt),Orion
HISTORY,"Tikal became an important ceremonial center of this civilization, prior to 300 A.D.",the Mayans
SCIENCE,"""The pH in pH scale stands for the """"potential of """" this element""",Hydrogen
HISTORY,"Between 1850 & 1864, the Taiping Rebellion claimed an estimated 20,000,000 lives in this country",China
SCIENCE,In breathing it's the gas you expel to the atmosphere,Carbon Dioxide
HISTORY,In 1914 German troops came within 15 miles of this capital before being repulsed at the Marne,Paris
SCIENCE,"Rockets produce 7 million pounds of thrust during takeoff of this vehicle, the space transportation system",the Shuttle
HISTORY,"""A 1795 partition ended its existence as a separate state in E. Europe; in 1918 it was back as a republic""",Poland
LITERATURE,"""In 1833 a French historian said that this author had built """"a cathedral as solid as the foundations of the other (one)""""""",Victor Hugo
MUSIC,"""Peter Tchaikovsky wrote 3 ballets: """"Swan Lake"""", """"Sleeping Beauty"""" & this perennial Christmas favorite""",The Nutcracker
MUSIC,"""Sherry & """"December 1963 (Oh, What A Night)""""""",Jersey Boys
HISTORY,"On Aug. 19, 1942 an Allied force took heavy casualties in an attack on this fort fortified by Germans",Dieppe
HISTORY,This Polish-French composer who was born in 1810 composed a polonaise when he was only 7,(Fredric) Chopin
SCIENCE,"""In concert hall acoustics, it's the opposite of reflection; the Sabin is a unit of it""",absorption
MUSIC,"""Named for a steamboat captain, this """"Mother Church of Country Music"""" was home to the Opry for 31 years""",Ryman Auditorium
LITERATURE,"""The Burr Oak, Iowa hotel in which this """"Little House on the Prairie"""" author briefly lived is a museum""",Laura Ingalls Wilder
HISTORY,"5 weeks after surrendering to the Allies in 1943, Italy declared war on this country",Germany
HISTORY,This treaty that created the European Union is named for the Dutch city where it was drawn up in 1991,Maastricht
HISTORY,In 73 B.C. this Thracian gladiator began a 2-year slave revolt against Roman rule,Spartacus
MUSIC,"""In 2005, she topped the album charts with """"The Emancipation of Mimi""""""",Mariah Carey
LITERATURE,"""An 1894 Anthony Hope romance was titled this """"of Zenda""""""",the Prisoner
GEOGRAPHY,"""This Washington volcano erupted on November 22, 1842; it blew its top again in 1980""",Mount St. Helens
HISTORY,"Cuban hill that was stormed by the Rough Riders on July 1, 1898",San Juan Hill
LITERATURE,"""This author of espionage novels like """"Our Man in Havana"""" was a popular candidate for the prize""",Graham Greene
HISTORY,"In 1368 the Ming dynasty didn't just take over this country, they urned it",China
MUSIC,"""Her big sister Loretta Lynn wrote her 1st single, """"I've Cried The Blue Right Out Of My Eyes""""""",Crystal Gayle
HISTORY,"In 1992 Nathan E. Cook, the last veteran of this war, died",the Spanish-American War
HISTORY,"In 1502, during his last voyage to the Americas, he sighted what is now Nicaragua",Christopher Columbus
HISTORY,"J.J. Dessalines, who bore scars from his master's whip, wanted to kill all whites on his island, now called this",Hispaniola
GEOGRAPHY,The tiny nation of Andorra is located in the Pyrenees Mountains between France & this country,Spain
SCIENCE,"Launched by the Soviets in 1957, the 1st living creature to orbit the Earth was one of these",Dog (Laika)
LITERATURE,"""In his 1st book, """"The Boo"""", Pat Conroy wrote about this South Carolina military academy, his alma mater""",The Citadel
HISTORY,This late 18th- early 19th-century French diplomat served at least seven different regimes,Talleyrand
HISTORY,"""Since the 1600s this 8-letter word has meant men of letters; a punning form of it refers to celebrities""",literati
HISTORY,"The penultimate Anglo-Saxon king, Edward was known by this pious title",Edward the Confessor
LITERATURE,"""In 1900 he wrote the line, """"The road to the City of Emeralds is paved with yellow brick""""""",L. Frank Baum
GEOGRAPHY,The Paraguay River divides Paraguay into 2 major regions:  Occidental Paraguay & this,Oriental Paraguay
GEOGRAPHY,"Once the capital of New Netherland, New York City was originally named this",New Amsterdam
LITERATURE,Shaw's scorched saint,St. Joan of Arc
HISTORY,The lid seen here depicts a bird in this dynasty that was ruling China in 101,Han
HISTORY,In 1927 the 2nd Treaty of Tirana established a 20-year defensive alliance between Italy & this country,Albania
HISTORY,"""In a large painting called """"Models"""", this pointillist included a glimpse of his masterpiece """"La Grande Jatte""""""",Seurat
MUSIC,"""This Frenchman did not allow the publication of his """"Carnival of the Animals"""" during his lifetime""",Camille Saint-Saens
MUSIC,"""This superstar was born in Saginaw in 1950 & by 1961, signed with Motown's Berry Gordy; isn't he lovely?""",Stevie Wonder
MUSIC,"""This group's 1995 album """"Pulse"""" includes a live performance of all the songs from """"Dark Side of the Moon""""""",Pink Floyd
LITERATURE,"""This """"Lolita"""" author remembers his childhood in St. Petersburg in his memoir """"Speak, Memory""""""",Vladimir Nabokov
